classe;cote_range;description;commentaire;nb_ouvrages;groupe;source;statut
NK;NK1105;Arts décoratifs après 1800 généralités (techniques, restauration etc.);Pour les ouvrages qui ne sont pas des ouvrages d'histoire des arts déco (qui vont en NK600). Vérifier si ça ne fait pas doublon;;NK;BM'O - Objets d'art;valide
NK;NK1133.2.A-Z;Arts décoratifs : catalogues de vente;;;NK;BM'O - Objets d'art;valide
NK;NK1133.25;Biographies d'artisan, individuelle ou collective;Regrouper les individuels et les sociétés;;NK;BM'O - Objets d'art;valide
NK;NK1133.28;Entreprises;;;NK;BM'O - Objets d'art;valide
NK;NK1133;Arts décoratifs : catalogues commerciaux;Par entreprise, mais voir si on les réintègre en fonds de catalogues commerciaux avec Q. Les mettre de côté pour le moment;;NK;BM'O - Objets d'art;valide
NK;NK1145;Arts and crafts;;;NK;BM'O - Objets d'art;valide
NK;NK1175;Ornementation, design;;;NK;BM'O - Objets d'art;valide
NK;NK1370;Ornementation, design, 19e;;;NK;BM'O - Objets d'art;valide
NK;NK1380;Ornementation design art nouveau;;;NK;BM'O - Objets d'art;valide
NK;NK1382.A-Z;Ornementation design courants particuliers;Si nombre d'ouvrages significatif sinon NK1370 pour la période ou NK 1175 toutes périodes confondues;;NK;BM'O - Objets d'art;valide
NK;NK1648;Arts décoratifs religieux;;;NK;BM'O - Objets d'art;valide
NK;NK1720;Décoration d'intérieur;;;NK;BM'O - Objets d'art;valide
NK;NK1960;Décoration d'intérieur 19e;;;NK;BM'O - Objets d'art;valide
NK;NK2115.5.A-Z;Eléments particuliers de la décoration d'intérieur (voir table);;;NK;BM'O - Objets d'art;valide
NK;NK2115.5.L5;Éclairages, appareils d'éclairage;;;NK;BM'O - Objets d'art;valide
NK;NK2205;Encyclopédies, dictionnaires et autres usuels;;;NK;BM'O - Objets d'art;valide
NK;NK2260;Mobilier : répertoire de motifs, design etc.;;;NK;BM'O - Objets d'art;valide
NK;NK2265;Mobilier : catalogues commerciaux (vérifier si on les met ici ou si on conserve tous les catalogues commerciaux ensemble);;;NK;BM'O - Objets d'art;valide
NK;NK2270;Mobilier : généralités;;;NK;BM'O - Objets d'art;valide
NK;NK2385;Mobilier 19e généralités;;;NK;BM'O - Objets d'art;valide
NK;NK2388;Mobilier 2nd Empire;;;NK;BM'O - Objets d'art;valide
NK;NK2392;Mobilier Art Nouveau;;;NK;BM'O - Objets d'art;valide
NK;NK2395;Mobilier 20e généralités;;;NK;BM'O - Objets d'art;valide
NK;NK2401-2694.5;Histoire du mobilier par pays;Semble un peu superflu, à n'utiliser que si on n'a beaucoup d'ouvrages par pays;;NK;BM'O - Objets d'art;valide
NK;NK2800;Tapis;;;NK;BM'O - Objets d'art;valide
NK;NK3000;Tapisseries et tentures (au mur);;;NK;BM'O - Objets d'art;valide
NK;NK3200;Tapisserie en siège. Draperie;;;NK;BM'O - Objets d'art;valide
NK;NK3395;Papiers peints;;;NK;BM'O - Objets d'art;valide
NK;NK3600;Alphabets, calligraphie;;;NK;BM'O - Objets d'art;valide
NK;NK3780;Céramique. Généralités;;;NK;BM'O - Objets d'art;valide
NK;NK3920;Céramique. 19e;;;NK;BM'O - Objets d'art;valide
NK;NK4700;Histoire du costume, de la mode et des accessoires généralités;;;NK;BM'O - Objets d'art;valide
NK;NK4709;Histoire du costume, de la mode et des accessoires époque moderne et 19e;;;NK;BM'O - Objets d'art;valide
NK;NK4710;Histoire du costume et des accessoires 20e;;;NK;BM'O - Objets d'art;valide
NK;NK4860;Objets d'art à porter (accessoires et objets d'art faisant partie du vestiaire, sauf bijoux : parapluies, cannes etc.);;;NK;BM'O - Objets d'art;valide
NK;NK4870;Eventails;;;NK;BM'O - Objets d'art;valide
NK;NK4890.A-Z;Objets d'art à porter, par article (voir table);;;NK;BM'O - Objets d'art;valide
NK;NK4894;Poupées et maisons de poupée;;;NK;BM'O - Objets d'art;valide
NK;NK5000;Émail, généralités;;;NK;BM'O - Objets d'art;valide
NK;NK5100;Art verrier;;;NK;BM'O - Objets d'art;valide
NK;NK5109;Art verrier, période moderne et 19e;;;NK;BM'O - Objets d'art;valide
NK;NK5500;Glyptique et pierres précieuses;;;NK;BM'O - Objets d'art;valide
NK;NK6200;Cuir;;;NK;BM'O - Objets d'art;valide
NK;NK6400;Arts du métal;;;NK;BM'O - Objets d'art;valide
NK;NK6600;Armes et armures;;;NK;BM'O - Objets d'art;valide
NK;NK7100;Orfevrerie;;;NK;BM'O - Objets d'art;valide
NK;NK7109;Orfèvrerie, période moderne et 19e;;;NK;BM'O - Objets d'art;valide
NK;NK7300;Bijouterie;;;NK;BM'O - Objets d'art;valide
NK;NK7309;Bijouterie, période moderne et 19e;;;NK;BM'O - Objets d'art;valide
NK;NK7500;Horlogerie;;;NK;BM'O - Objets d'art;valide
NK;NK7800;Cuivre et bronze;;;NK;BM'O - Objets d'art;valide
NK;NK8400;Dinanderie, étain, fer blanc;;;NK;BM'O - Objets d'art;valide
NK;NK8454;Jouets;;;NK;BM'O - Objets d'art;valide
NK;NK8470;Objets en miniature;;;NK;BM'O - Objets d'art;valide
NK;NK8700;Arts du marbre et de la pierre;;;NK;BM'O - Objets d'art;valide
NK;NK8725;Arts de la table;;;NK;BM'O - Objets d'art;valide
NK;NK8800;Arts du textile et broderie;;;NK;BM'O - Objets d'art;valide
NK;NK8900;Tissage et fabrication de tissu;;;NK;BM'O - Objets d'art;valide
NK;NK9990.A-Z;Autres techniques;;;NK;BM'O - Objets d'art;valide
NK;NK5300;Vitrail;Noté « 5306 > 5300 » dans le plan -- à confirmer;18;NK;BM'O - Objets d'art;suggestion
N;N8550;Cadres;;4;NK;BM'O - Objets d'art;suggestion
NK;NK8555;Papier-mâché;;2;NK;BM'O - Objets d'art;suggestion
NK;NK9600;Art du bois / menuiserie;;7;NK;BM'O - Objets d'art;suggestion
NK;NK9920;Marqueterie;;4;NK;BM'O - Objets d'art;suggestion
NB;NB60;Histoire de la sculpture - Généralités;;;NB;BM'O - Sculpture;valide
NB;NB134;Bronze, généralités;;;NB;BM'O - Sculpture;valide
NB;NB143;Monuments funéraires, tombeaux;;;NB;BM'O - Sculpture;valide
NB;NB145;Sculpture en terre cuite;;;NB;BM'O - Sculpture;valide
NB;NB163.A-Z;Représentation en sculpture d'un personnage mythologique particulier (voir table);;;NB;BM'O - Sculpture;valide
NB;NB165.A-Z;Représentation en sculpture d'un personnage historique (réel ou attesté) particulier (voir table);;;NB;BM'O - Sculpture;valide
NB;NB197;Sculpture au 19e siècle;;;NB;BM'O - Sculpture;valide
PN;PN33;Actes de congrès;;;P;BM'O - Littérature;valide
PN;PN41;Encyclopédies et dictionnaires;;;P;BM'O - Littérature;valide
PN;PN45;Théorie littéraire;;;P;BM'O - Littérature;valide
PN;PN53;Littérature et arts;;;P;BM'O - Littérature;valide
PN;PN58;Essais (littéraires);;;P;BM'O - Littérature;valide
PN;PN74;Biographies collectives (groupes d'auteurs);;;P;BM'O - Littérature;valide
PN;PN75;Biographies de critiques littéraires;Les biographies d'auteurs sont à classer à l'identifiant de l'auteur ou par littérature nationale;;P;BM'O - Littérature;valide
PN;PN81;Critique littéraire;Critique strictement littéraire (toutes formes, y compris poésie etc.). La critique artistique au sens large est à mettre en NX640;;P;BM'O - Littérature;valide
PN;PN441-1009;Histoire Littéraire;;;P;BM'O - Littérature;valide
PN;PN521;Histoire littéraire générale etc.;;;P;BM'O - Littérature;valide
PN;PN750;Histoire littéraire avant 1800;;;P;BM'O - Littérature;valide
PN;PN760;Histoire littéraire du XIXe siècle;Tous pays confondus;;P;BM'O - Littérature;valide
PN;PN770;Histoire littéraire du XXe siècle;;;P;BM'O - Littérature;valide
PN;PN810;Histoire littéraire : sujets spécifiques;;;P;BM'O - Littérature;valide
PN;PN1009;Littérature pour la jeunesse;;;P;BM'O - Littérature;valide
PN;PN1010;Poésie;;;P;BM'O - Littérature;valide
PN;PN1435;Satire;;;P;BM'O - Littérature;valide
PN;PN3433;Science-fiction et fantastique (textes);Cutter au nom de l'auteur;;P;BM'O - Littérature;valide
PN;PN3433.8;Science-fiction : histoire et ouvrages critiques;;;P;BM'O - Littérature;valide
PN;PN6700;bande dessinée (ouvrages théoriques portant sur);;;P;BM'O - Littérature;valide
PN;PN6747;Bande dessinée (ouvrages théoriques sur un seul artiste ou albums des artistes);Cutter au nom du dessinateur ou de l'auteur sur lequel porte l'ouvrage.;;P;BM'O - Littérature;valide
PQ;PQ41;Encyclopédies et dictionnaires de littérature française;;;P;BM'O - Littérature;valide
PQ;PQ45;Théorie de la littérature française en tant que discipline;;;P;BM'O - Littérature;valide
PQ;PQ71;Critique littéraire en France (y compris histoire de la critique);;;P;BM'O - Littérature;valide
PQ;PQ100;(Histoire de la)Littérature française - généralités;Toutes généralités en littérature française;;P;BM'O - Littérature;valide
PQ;PQ145;Histoire littéraire générale, sujets spécifiques;Uniquement les ouvrages d'histoire littéraire sans période définie (sinon classer en histoire littéraire 19e ou 20e);;P;BM'O - Littérature;valide
PQ;PQ146;Biographies collectives d'auteurs ou d'auteurs individuels sans cote;Pour des biographies collectives de membres d'un mouvement, d'un groupe ou pour les biographies d'auteurs littéraires n'ayant pas de cote dédiée | Renvoi : Cutter au nom du mouvement ou de la personne sur laquelle porte la biographie;;P;BM'O - Littérature;valide
PQ;PQ149;Femmes autrices;;;P;BM'O - Littérature;valide
PQ;PQ150;groupes d'auteurs spécifiques;Ouvrages portant sur des communautés ou catégories d'auteurs littéraires : auteurs identifiés par leur religion, auteurs issus des classes populaires etc.;;P;BM'O - Littérature;valide
PQ;PQ281;Histoire de la littérature française au 19e;;;P;BM'O - Littérature;valide
PQ;PQ295;Histoire litt. Française 19e siècle, sujets spécifiques;Placer au cutter du sujet, éviter les sujets trop nombreux et noter la liste des cutters validés, on peut y mettre les études de genres spécifiques (humour, satire etc.). Voir pour appliquer des cutters sur des sujets plus spécifiques;;P;BM'O - Littérature;valide
PQ;PQ305;Histoire de la littérature française au 20e;"Uniquement pour les ouvrages strictement sur le 20e et débordant de la période Orsay. Les ouvrages ""fin 19e début 20e"" sont à classer en PQ281";;P;BM'O - Littérature;valide
PQ;PQ401;Poésie;;;P;BM'O - Littérature;valide
PQ;PQ445;Chanson;Uniquement sur les aspects poétiques et littéraires, sinon classer en musique;;P;BM'O - Littérature;valide
PQ;PQ781;Littératures populaires;;;P;BM'O - Littérature;valide
PQ;PQ845;Littérature française jeunesse;;;P;BM'O - Littérature;valide
PQ;PQ1103;Anthologies et recueils de textes littéraires 19e;Y compris les recueils de correspondance;;P;BM'O - Littérature;valide
PQ;PQ1104;Anthologies et recueils de textes littéraires 20e;"Uniquement pour les ouvrages strictement sur le 20e et débordant de la période Orsay. Les anthologies ""fin 19e début 20e"" sont à classer en PQ1103";;P;BM'O - Littérature;valide
PQ;PQ2149;Œuvres anonymes et auteurs français avant 1900 non cotés;Les œuvres anonymes ont le cutter au titre, les auteurs non cotés sur envoyés au cutter de leur nom;;P;BM'O - Littérature;valide
PQ;PQ2600;Œuvres anonymes et auteurs français après 1900 non cotés;Les œuvres anonymes ont le cutter au titre, les auteurs non cotés sur envoyés au cutter de leur nom;;P;BM'O - Littérature;valide
PR;PR4000;Œuvres anonymes étrangères et auteurs étrangers non cotés avant 1900;Les œuvres anonymes ont le cutter au titre, les auteurs non cotés sur envoyés au cutter de leur nom;;P;BM'O - Littérature;valide
PR;PR6000;Œuvres anonymes étrangères et auteurs étrangers non cotés après 1900;Les œuvres anonymes ont le cutter au titre, les auteurs non cotés sur envoyés au cutter de leur nom;;P;BM'O - Littérature;valide
PQ;PQ295.H86;Histoire litt. française 19e, sujet spécifique : Humour;;3;P;BM'O - Littérature;valide
PQ;PQ295.R43;Histoire litt. française 19e, sujet spécifique : Realisme/ Naturalisme;;1;P;BM'O - Littérature;valide
PQ;PQ295.P37;Histoire litt. française 19e, sujet spécifique : Paris;;3;P;BM'O - Littérature;valide
PQ;PQ295.S96;Histoire litt. française 19e, sujet spécifique : Symbolisme;;8;P;BM'O - Littérature;valide
PQ;PQ295.D43;Histoire litt. française 19e, sujet spécifique : Décadentisme;;4;P;BM'O - Littérature;valide
PQ;PQ295.R66;Histoire litt. française 19e, sujet spécifique : Romantisme;;9;P;BM'O - Littérature;valide
PQ;PQ295.F46;Histoire litt. française 19e, sujet spécifique : Féminisme;;10;P;BM'O - Littérature;valide
PQ;PQ295.Q44;Histoire litt. française 19e, sujet spécifique : Queer;;5;P;BM'O - Littérature;valide
PQ;PQ295.M98;Histoire litt. française 19e, sujet spécifique : Folklore/mythologie;;1;P;BM'O - Littérature;valide
PQ;PQ295.C38;Histoire litt. française 19e, sujet spécifique : Catalogue de vente;;;P;BM'O - Littérature;suggestion
PQ;PQ295.C67;Histoire litt. française 19e, sujet spécifique : Correspondance;;1;P;BM'O - Littérature;valide
PQ;PQ295.G46;Histoire litt. française 19e, sujet spécifique : Genre (théorie du);;1;P;BM'O - Littérature;valide
Z;Z5053;Thèses (toutes disciplines), mémoires, rapports de stage etc.;EXCEPTIONNELLEMENT on classe les thèses par ANNEE | Cutter : nom de l'auteur;;Z;BM'O - Bibliographies, thèses;valide
