classe;cote_range;description
N;N2252;Collective
N;N2256;Collective
N;N2264.2;Collective
N;N2268;Darmstadt - Dortmund
N;N2269;Dortmund - Dresden
N;N2270;Collective
N;N2292;Collective
N;N2298;Duisburg - Essen
N;N2300;Collective
N;N2305;Fulda - Hildesheim
N;N2307;Hildesheim - Kassel
N;N2309;Kasseler - Leipzig
N;N2312;Collective
N;N2316;Mannheim - Munich
N;N2317;Collective
N;N2339.A-Z;Other special, A-Z
N;N2363;Potsdam. Staatliche Schlösser und Gärten Potsdam-Sanssouci. Bildergalerie (Table
N;N2364;Recklinghausen. Collective
N;N2378;Schleswig (City). Schleswig-Holsteinisches Landesmuseum für Vor- und
N;N2410;Collective
N;N2420;Collective
N;N2450;Collective
N;N2450.5.A-Z;By region, province, etc., A-Z
N;N2510;Collective
N;N2524.5;Collective
N;N2540;Collective
N;N2560.5.A-Z;Special galleries. By name, A-Z
N;N2571;Folios
N;N2620;Genoa
N;N2660;Collective
N;N2697;Molise. Collective
N;N2700;Montalcino. Collective
N;N2705;Monza. Collective
N;N2720;Collective
N;N2738.5;Palmi. Casa della cultura Leonida Répaci
N;N2745;Pisa. Campo santo
N;N2746;Pisa. Campo santo to Prato
N;N2746.7;Collective
N;N2810;Collective
N;N2940;Collective
N;N2941;Biblioteca vaticana. Museo sacro
N;N2943;Museo Chiaramonti
N;N2945;Museo Pio-Clementino
N;N2945.5;Museo profano lateranense
N;N2947;Pinacoteca (1932- )
N;N2950;Cappella sistina
N;N2966;Collective
N;N2987.A-Z;Other, A-Z
N;N3010;Collective
N;N3042.A-Z;Other, A-Z
N;N3110;Collective
N;N3118;Collective
N;N3124;Collective
N;N3135.A-Z;Other cities, A-Z
N;N3150;Collective
N;N3150.35;"Centrum Sztuki Współczesnej ""Łaźnia"""
N;N3152.32.A-Z;Special collections. By name, A-Z
N;N3165.7;Collective
N;N3210;Collective
N;N3228;Collective
N;N3231.A-Z;Other, A-Z
N;N3235;Collective
N;N3236.A-Z;Special museums, A-Z
N;N3310;Collective
N;N3310.15.A-Z;By region, republic, country, etc., A-Z
N;N3313.5;"Dushanbe (Tajikistan). Respublikanskiĭ ob""edinennyĭ muzeĭ istoriko-kraevedcheskiĭ i"
N;N3315.9;Collective
N;N3317.92;Kizhi Island. Gosudarstvennyĭ istoriko-arkhitekturnyĭ i ėthnograficheskiĭ muzeĭ-
N;N3318.9;Collective
N;N3319.6;Mineral'nye Vody (Russia). Stavropolskiĭ Kraevoĭ muzeĭ izobrazitelnykh iskussto
N;N3320;Collective
N;N3320.3;Gosudarstvennyĭ muzeĭ iskusstva narodov Vostoka. Otdel Sovetskogo Vostoka
N;N3323.15;Muzeĭ dekorativno-prikladnogo i promyshlennogo iskusstva MGKhPA imeni S.G.
N;N3327;Nikolaev (Nikolaevskaia͡ oblast'). Mykolaĭvs'kyĭ khudozhniĭ muzeĭ imenii V.V.
N;N3328.5;Collective
N;N3340;Collective
N;N3350.2.A-Z;Special galleries. By name, A-Z
N;N3351.2;Saratov (City). Gosudarstvennyĭ khudozh͡estvennyĭ muzeĭ imeni A.N. Radishcheva
N;N3355.7;Smolensk. Smolenskiĭ gosudarstvennyĭobe̋dinennyĭ istoricheskiĭ i arkhitekturno-
N;N3410;General
N;N3410.2.A-Z;By region, province, etc., A-Z
N;N3410.3;Collective
N;N3415.22;Collective
N;N3415.26;Collective
N;N3429;Lérida (Collective)
